#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
Q8IZP0	Q9Y6W5	1	TCR	11	physical	ABI1	WASF2
P04435	P04234	1	TCR	11	physical	TRB@	CD3D
P04435	P07766	1	TCR	11	physical	TRB@	CD3E
P04435	P09693	1	TCR	11	physical	TRB@	CD3G
P04435	-	1	TCR	11	physical	TRB@	TRA@
P68366	P15498	1	TCR	11	physical	TUBA4A	VAV1
P68366	P43403	1	TCR	11	physical	TUBA4A	ZAP70
P07437	P15498	1	TCR	11	physical	TUBB	VAV1
P07437	P43403	1	TCR	11	physical	TUBB	ZAP70
P42681	P06241	1	TCR	11	physical	TXK	FYN
Q13432	P20963	1	TCR	11	physical	UNC119	CD247
Q13432	P07766	1	TCR	11	physical	UNC119	CD3E
Q13432	P01730	1	TCR	11	physical	UNC119	CD4
Q13432	P06241	1	TCR	11	physical	UNC119	FYN
Q13432	P06239	1	TCR	11	physical	UNC119	LCK
P50552	O15117	1	TCR	11	physical	VASP	FYB
P15498	P52566	1	TCR	11	physical	VAV1	ARHGDIB
P15498	P50570	1	TCR	11	physical	VAV1	DNM2
P15498	O43561	1	TCR	11	physical	VAV1	LAT
P15498	Q13094	1	TCR	11	physical	VAV1	LCP2
P15498	P16333	1	TCR	11	physical	VAV1	NCK1
P15498	Q14289	1	TCR	11	physical	VAV1	PTK2B
P15498	P78314	1	TCR	11	physical	VAV1	SH3BP2
P15498	Q15464	1	TCR	11	physical	VAV1	SHB
P15498	P68366	1	TCR	11	physical	VAV1	TUBA4A
P15498	P07437	1	TCR	11	physical	VAV1	TUBB
Q9UKW4	Q13094	1	TCR	11	physical	VAV3	LCP2
Q9UKW4	P78314	1	TCR	11	physical	VAV3	SH3BP2
P42768	P60953	1	TCR	11	physical	WAS	CDC42
P42768	P46109	1	TCR	11	physical	WAS	CRKL
P42768	O15117	1	TCR	11	physical	WAS	FYB
P42768	P06241	1	TCR	11	physical	WAS	FYN
P42768	Q13094	1	TCR	11	physical	WAS	LCP2
P42768	P16333	1	TCR	11	physical	WAS	NCK1
P42768	O43586	1	TCR	11	physical	WAS	PSTPIP1
P42768	Q05209	1	TCR	11	physical	WAS	PTPN12
P42768	O43516	1	TCR	11	physical	WAS	WIPF1
P42768	P43403	1	TCR	11	physical	WAS	ZAP70
Q9Y6W5	Q8IZP0	1	TCR	11	physical	WASF2	ABI1
O43516	P46109	1	TCR	11	physical	WIPF1	CRKL
O43516	P42768	1	TCR	11	physical	WIPF1	WAS
O43516	P43403	1	TCR	11	physical	WIPF1	ZAP70
P27348	P22681	1	TCR	11	physical	YWHAQ	CBL
P63104	Q13094	1	TCR	11	physical	YWHAZ	LCP2
P43403	P00519	1	TCR	11	physical	ZAP70	ABL1
P43403	Q9BXL7	1	TCR	11	physical	ZAP70	CARD11
P43403	P22681	1	TCR	11	physical	ZAP70	CBL
P43403	Q13191	1	TCR	11	physical	ZAP70	CBLB
P43403	P20963	1	TCR	11	physical	ZAP70	CD247
P43403	P07766	1	TCR	11	physical	ZAP70	CD3E
P43403	P06127	1	TCR	11	physical	ZAP70	CD5
P43403	P46108	1	TCR	11	physical	ZAP70	CRK
P43403	P46109	1	TCR	11	physical	ZAP70	CRKL
P43403	Q9UJU6	1	TCR	11	Phosphorylation	ZAP70	DBNL
P43403	Q9H4E7	1	TCR	11	physical	ZAP70	DEF6
P43403	P51452	1	TCR	11	Phosphorylation	ZAP70	DUSP3
P43403	P51452	1	TCR	11	physical	ZAP70	DUSP3
P43403	Q96P31	1	TCR	11	physical	ZAP70	FCRL3
P43403	P06241	1	TCR	11	physical	ZAP70	FYN
P43403	Q9UQC2	1	TCR	11	Phosphorylation	ZAP70	GAB2
P43403	Q9UQC2	1	TCR	11	physical	ZAP70	GAB2
P43403	P62993	1	TCR	11	physical	ZAP70	GRB2
P43403	O43561	1	TCR	11	Phosphorylation	ZAP70	LAT
P43403	Q8IWV1	1	TCR	11	Phosphorylation	ZAP70	LAX1
P43403	P06239	1	TCR	11	physical	ZAP70	LCK
P43403	Q13094	1	TCR	11	Phosphorylation	ZAP70	LCP2
P43403	P15941	1	TCR	11	Phosphorylation	ZAP70	MUC1
P43403	P15941	1	TCR	11	physical	ZAP70	MUC1
P43403	Q8NET5	1	TCR	11	physical	ZAP70	NFAM1
P43403	Q8NET5	1	TCR	11	Phosphorylation	ZAP70	NFAM1
P43403	P19174	1	TCR	11	physical	ZAP70	PLCG1
P43403	Q14289	1	TCR	11	physical	ZAP70	PTK2B
P43403	P20936	1	TCR	11	physical	ZAP70	RASA1
P43403	Q9UQQ2	1	TCR	11	Phosphorylation	ZAP70	SH2B3
P43403	Q15464	1	TCR	11	physical	ZAP70	SHB
P43403	P29353	1	TCR	11	physical	ZAP70	SHC1
P43403	P29353	1	TCR	11	Phosphorylation	ZAP70	SHC1
P43403	Q13239	1	TCR	11	physical	ZAP70	SLA
P43403	Q9H6Q3	1	TCR	11	physical	ZAP70	SLA2
P43403	Q07889	1	TCR	11	physical	ZAP70	SOS1
P43403	P68366	1	TCR	11	physical	ZAP70	TUBA4A
P43403	P07437	1	TCR	11	physical	ZAP70	TUBB
P43403	P15498	1	TCR	11	Phosphorylation	ZAP70	VAV1
P43403	P42768	1	TCR	11	physical	ZAP70	WAS
P43403	O43516	1	TCR	11	physical	ZAP70	WIPF1
