#tail	head
NEK1	TTC25
SYNCRIP	HSPA1B
SYNCRIP	CREB1
SYNCRIP	JUN
SYNCRIP	BAG2
SYNCRIP	CNBP
SYNCRIP	HSPA1A
SYNCRIP	TRAF2
SYNCRIP	PLEKHA7
SYNCRIP	TNF
SYNCRIP	PRKAB1
SYNCRIP	SLBP
SYNCRIP	PAX4
SYNCRIP	CEBPA
SYNCRIP	YBX1
SYNCRIP	EEF2
SYNCRIP	VDR
SDC1	TNF
TRIM25	POLR2L
TRIM25	MRPL3
TRIM25	JUN
TRIM25	CEP250
TRIM25	HIST2H4B
TRIM25	DNAJB6
TRIM25	SART3
TRIM25	HNRNPUL2
TRIM25	IGF2BP3
TRIM25	TAF1
TRIM25	EEF2
TRIM25	RPL5
TRIM25	AMBRA1
TRIM25	TRAF2
TRIM25	RPS25
TRIM25	RPL9P7
TRIM25	SPTBN1
TRIM25	YBX1
TRIM25	HSPA7
TRIM25	RIOK1
TRIM25	SHB
CEBPA	VDR
CEBPA	TNF
CEBPA	SLBP
CEBPA	EGFR
CEBPA	PPARA
CEBPA	SPTBN1
CEBPA	PLEKHA7
CEBPA	JUN
CEBPA	CIPC
SNW1	ATP6V0A1
SNW1	JUN
SNW1	RPS25
SNW1	KCTD3
SNW1	RIOK1
SNW1	WAPL
SNW1	DNAJB2
SNW1	POLR2L
SNW1	SPTBN1
SNW1	AP1M2
SNW1	HSPA1A
SNW1	IGF2BP3
SNW1	RPL5
SNW1	SLBP
SNW1	EEF2
SNW1	HSPA1B
MYH3	TRPV2
EDNRB	TNF
EDNRB	GNG3
PLEKHA7	RPL5
PLEKHA7	YBX1
PLEKHA7	KCTD3
PLEKHA7	SPTBN1
PLEKHA7	EGFR
PLEKHA7	IGF2BP3
PLEKHA7	EEF2
PLEKHA7	SLBP
MDM4	SLC30A10
MDM4	HSPA1A
MPO	AKR1C3
MPO	PPARA
NAMPT	TNF
NAMPT	CYP2A6
NAMPT	PPARA
NAMPT	JUN
NAMPT	RIOK1
NAMPT	AKR1D1
NAMPT	AKR1C3
HSPA4	BAG2
HSPA4	DNAJB6
HSPA4	JUN
HSPA4	AIMP2
HSPA4	TAF1
HSPA4	DNAJB2
HSPA4	EGFR
HSPA4	HSPA1A
HSPA4	ZW10
DNAJB2	KCTD3
DNAJB2	SLBP
DNAJB2	CREB1
DNAJB2	DNAJB6
DNAJB2	SPTBN1
DNAJB2	PAX4
DNAJB2	TRAF2
ATP6V0A1	PAX4
ATP6V0A1	MAFG
ATP6V0A1	SPTBN1
ATP6V0A1	JUN
GRM3	TNF
GRM3	GNG3
GRM3	PAX4
GRM3	CREB1
GRM3	VDR
CNBP	IGF2BP3
CNBP	RPL5
CNBP	MAFG
USP4	TNF
USP4	TAF1
USP4	TRAF2
TFPT	PPARA
TFPT	CREB1
PPARA	PCBP4
PPARA	IGF2BP3
PPARA	AKR1C3
PPARA	PIR
PPARA	TNF
PPARA	HIST2H4B
SPTBN1	AIMP2
SPTBN1	HSPA1B
SPTBN1	AP1M2
SPTBN1	HSPA1A
SPTBN1	IGF2BP3
SPTBN1	KCTD3
SPTBN1	YBX1
SPTBN1	RPL5
WAPL	ZW10
MRPL3	RIOK1
MRPL3	YBX1
MRPL3	MRPL17
TRAF2	EGFR
TRAF2	PRKAB2
TRAF2	HSPA1B
TRAF2	JUN
TRAF2	BAG2
TRAF2	HSPA1A
TRAF2	GRIPAP1
TRAF2	AIMP2
SLBP	YBX1
SLBP	EEF2
SLBP	RPL5
SLBP	AIMP2
SLBP	HSPA1B
SLBP	AP1M2
SLBP	HSPA1A
SLBP	KCTD3
UNC80	EGFR
ACSL3	EGFR
ACSL3	CYP2A6
ACSL3	SLC27A5
ACSL3	JUN
ACSL3	PRKAB1
ACSL3	PAX4
ACSL3	PRKAB2
DOCK9	TAF1
CEP250	RPL5
CEP250	HIST2H4B
CEP250	SCLT1
CEP250	RPS25
IGHV2-70	GNG3
HSPA7	RIOK1
HSPA7	HIST2H4B
HSPA7	YBX1
HSPA7	DNAJB6
HSPA7	EGFR
HSPA7	BAG2
PRKAB2	AMBRA1
PRKAB2	SLC27A5
PRKAB2	HIST2H4B
PRKAB2	RPS25
PRKAB2	PRKAB1
PRKAB2	AIMP2
PRKAB2	HSPA1B
PRKAB2	HSPA1A
PRKAB2	TAF1
KCNJ16	GNG3
SART3	YBX1
SART3	RIOK1
SART3	JUN
AMBRA1	BAG2
AMBRA1	PRKAB1
PRKAB1	AIMP2
PRKAB1	HSPA1B
PRKAB1	HSPA1A
PRKAB1	TAF1
PRKAB1	SLC27A5
IGF2BP3	JUN
IGF2BP3	RIOK1
IGF2BP3	YBX1
DNAJB6	HSPA1A
DNAJB6	HSPA1B
RPS25	RIOK1
RPS25	JUN
RPS25	TNF
RPS25	RPL5
RPS25	RPL9P7
GNG3	EGFR
GNG3	MAFG
RPL5	YBX1
RPL5	TNF
RPL5	RIOK1
RPL5	HSPA1A
RPL5	RPL9P7
MRGBP	HSPA1B
HSPA1A	EEF2
HSPA1A	VDR
HSPA1A	JUN
HSPA1A	RIOK1
HSPA1A	SLC30A10
HSPA1A	AKR1C3
HSPA1A	HSPA1B
HSPA1A	TNF
HSPA1A	EGFR
HSPA1A	YBX1
CREB1	SCLT1
CREB1	JUN
CREB1	TAF1
TNF	EGFR
TNF	EEF2
TNF	RPL9P7
TNF	CYP2A6
TNF	SLC30A10
TNF	HSPA1B
TNF	JUN
TNF	AKR1C3
TNF	AKR1D1
RPL9P7	YBX1
RPL9P7	JUN
RPL9P7	EEF2
EEF2	MAFG
EEF2	PAK2
EEF2	JUN
PAX4	TRPV2
PAX4	PCBP4
SLC30A10	HSPA1B
SLC30A10	JUN
MRPL27	YBX1
MRPL27	MRPL17
TAF1	AIMP2
TAF1	POLR2L
TAF1	KCTD3
TAF1	HIST2H4B
RIOK1	HSPA1B
RIOK1	HNRNPUL2
RIOK1	EGFR
RIOK1	YBX1
CYP2A6	YBX1
CYP2A6	HIST2H4B
AKR1C3	VDR
AKR1C3	AKR1D1
AKR1C3	HSPA1B
YBX1	HSPA1B
YBX1	JUN
YBX1	VDR
YBX1	POLR2L
YBX1	HNRNPUL2
VDR	HSPA1B
VDR	JUN
VDR	PCBP4
BAG2	HSPA1B
BAG2	JUN
POLR2L	JUN
POLR2L	HIST2H4B
CIPC	MAFG
EGFR	ZW10
EGFR	HIST2H4B
EGFR	AP1M2
HIST2H4B	PAK2
HIST2H4B	JUN
HSPA1B	JUN
PAK2	JUN
PAK2	SCLT1
